report_id,data_riferimento,titolo_tabella,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Campania,529316.0,384930.0,72.7,367818.0,152095.0,8164.0,143545.0,266.0,25309.0,166980.0,1078.0,2832.0,27309.0,393581.0,74.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Emilia-Romagna,269603.0,226583.0,84.0,216668.0,178216.0,9263.0,32809.0,7842.0,57277.0,93793.0,153.0,2007.0,17324.0,229292.0,85.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Friuli-Venezia Giulia,108261.0,101600.0,93.8,79477.0,92603.0,3209.0,7368.0,13349.0,13625.0,30628.0,91.0,85.0,5867.0,101887.0,94.1
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Lazio,270347.0,155478.0,57.5,147291.0,35899.0,8932.0,10542.0,15767.0,11822.0,37418.0,0.0,614.0,16910.0,160653.0,59.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Liguria,66992.0,52694.0,78.7,43453.0,30497.0,2181.0,42.0,10610.0,9555.0,18102.0,0.0,49.0,4383.0,53269.0,79.5
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Lombardia,519890.0,317123.0,61.0,267581.0,212141.0,16927.0,17265.0,55405.0,41750.0,101036.0,162.0,2235.0,35739.0,334388.0,64.3
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Marche,106638.0,90626.0,85.0,53017.0,79806.0,3978.0,6320.0,3185.0,4678.0,13208.0,1.0,1187.0,10880.0,92169.0,86.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Molise,13896.0,3062.0,22.0,981.0,96.0,3.0,1273.0,223.0,976.0,2326.0,1.0,4.0,1047.0,4015.0,28.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Piemonte,258697.0,184161.0,71.2,174189.0,98333.0,22698.0,47766.0,6151.0,16017.0,64306.0,1.0,53.0,26256.0,186773.0,72.2
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Puglia,379687.0,180701.0,47.6,95189.0,111655.0,504.0,24381.0,17510.0,22612.0,63121.0,7.0,14882.0,22225.0,196569.0,51.8
