report_id,data_riferimento,tavola,titolo_tabella,dimensione,etichetta,variabile,percorso,unita_misura,valore
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Friuli-Venezia Giulia,individui,,valore_assoluto,68635.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Friuli-Venezia Giulia,totale,,valore_assoluto,71100.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lazio,2022,,valore_assoluto,61227.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lazio,2023,,valore_assoluto,79066.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lazio,2024,,valore_assoluto,39051.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lazio,incidenza_pc,,percentuale,21.8
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lazio,individui,,valore_assoluto,176543.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lazio,totale,,valore_assoluto,179344.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Liguria,2022,,valore_assoluto,11326.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Liguria,2023,,valore_assoluto,21021.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Liguria,2024,,valore_assoluto,10302.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Liguria,incidenza_pc,,percentuale,24.2
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Liguria,individui,,valore_assoluto,41841.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Liguria,totale,,valore_assoluto,42649.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lombardia,2022,,valore_assoluto,76543.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lombardia,2023,,valore_assoluto,137986.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lombardia,2024,,valore_assoluto,82851.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lombardia,incidenza_pc,,percentuale,27.9
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lombardia,individui,,valore_assoluto,284604.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Lombardia,totale,,valore_assoluto,297380.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Marche,2022,,valore_assoluto,18127.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Marche,2023,,valore_assoluto,36287.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Marche,2024,,valore_assoluto,20975.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Marche,incidenza_pc,,percentuale,27.8
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Marche,individui,,valore_assoluto,71726.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Marche,totale,,valore_assoluto,75389.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Molise,2022,,valore_assoluto,1698.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Molise,2023,,valore_assoluto,2666.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Molise,2024,,valore_assoluto,2522.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Molise,incidenza_pc,,percentuale,36.6
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Molise,individui,,valore_assoluto,6655.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Molise,totale,,valore_assoluto,6886.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Bolzano,2022,,valore_assoluto,2031.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Bolzano,2023,,valore_assoluto,6002.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Bolzano,2024,,valore_assoluto,3389.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Bolzano,incidenza_pc,,percentuale,29.7
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Bolzano,individui,,valore_assoluto,10633.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Bolzano,totale,,valore_assoluto,11422.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Trento,2022,,valore_assoluto,4960.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Trento,2023,,valore_assoluto,8045.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,P.A. Trento,2024,,valore_assoluto,4116.0
