report_id,data_riferimento,titolo_tabella,dimensione,etichetta,percorso,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,P.A. Bolzano,,15301.0,8492.0,55.5,8088.0,52.9,404.0,2.6,95.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Calabria,,162024.0,52314.0,32.3,47752.0,29.5,4562.0,2.8,91.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Campania,,501585.0,157683.0,31.4,142841.0,28.5,14842.0,3.0,90.6
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Emilia-Romagna,,257330.0,118859.0,46.2,107215.0,41.7,11644.0,4.5,90.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,,102776.0,50397.0,49.0,47673.0,46.4,2724.0,2.7,94.6
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lazio,,250757.0,103742.0,41.4,90194.0,36.0,13548.0,5.4,86.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Liguria,,63840.0,30697.0,48.1,27648.0,43.3,3049.0,4.8,90.1
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lombardia,,478946.0,194514.0,40.6,169883.0,35.5,24631.0,5.1,87.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Marche,,101536.0,46257.0,45.6,42103.0,41.5,4154.0,4.1,91.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Molise,,12710.0,4540.0,35.7,4082.0,32.1,458.0,3.6,89.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Piemonte,,242573.0,101164.0,41.7,90451.0,37.3,10713.0,4.4,89.4
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Puglia,,355411.0,139508.0,39.3,128816.0,36.2,10692.0,3.0,92.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Sardegna,,160690.0,78556.0,48.9,73543.0,45.8,5013.0,3.1,93.6
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Sicilia,,500187.0,163146.0,32.6,149910.0,30.0,13236.0,2.6,91.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Toscana,,261441.0,130704.0,50.0,119081.0,45.5,11623.0,4.4,91.1
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,P.A. Trento,,25371.0,13234.0,52.2,12570.0,49.5,664.0,2.6,95.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Umbria,,58192.0,26091.0,44.8,23445.0,40.3,2646.0,4.5,89.9
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Valle d'Aosta,,6324.0,3179.0,50.3,2925.0,46.3,254.0,4.0,92.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Veneto,,290868.0,138642.0,47.7,129616.0,44.6,9026.0,3.1,93.5
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Totale,,3958471.0,1606027.0,40.6,1457803.0,36.8,148224.0,3.7,90.8
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo,2009317.0,984233.0,49.0,898654.0,44.7,85579.0,4.3,91.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling,953154.0,406524.0,42.7,368505.0,38.7,38019.0,4.0,90.6
