report_id,data_riferimento,titolo_tabella,regione,perc1_ass,perc2_ass,perc3_ass,perc4_ass,perc5_ass,perc1_pc,perc2_pc,perc3_pc,perc4_pc,perc5_pc
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sardegna,97886.0,42213.0,29636.0,3271.0,730.0,56.3,24.3,17.1,1.9,0.4
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sicilia,217446.0,116659.0,163375.0,13730.0,801.0,42.5,22.8,31.9,2.7,0.2
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Toscana,191359.0,59456.0,25870.0,9997.0,32.0,66.7,20.7,9.0,3.5,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",P.A. Trento,15437.0,6566.0,1422.0,2007.0,0.0,60.7,25.8,5.6,7.9,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Umbria,44412.0,9018.0,8296.0,1368.0,319.0,70.0,14.2,13.1,2.2,0.5
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Valle d'Aosta,3611.0,1541.0,223.0,1343.0,3.0,53.7,22.9,3.3,20.0,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Veneto,153822.0,137448.0,20517.0,9278.0,936.0,47.8,42.7,6.4,2.9,0.3
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Totale,2098311.0,1021981.0,858414.0,156454.0,7567.0,50.7,24.7,20.7,3.8,0.2
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Abruzzo,42360.0,10658.0,11924.0,868.0,0.0,64.4,16.2,18.1,1.3,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Basilicata,20060.0,7951.0,15219.0,374.0,2.0,46.0,18.2,34.9,0.9,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",P.A. Bolzano,10618.0,3460.0,546.0,695.0,0.0,69.3,22.6,3.6,4.5,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Calabria,67659.0,38295.0,46772.0,4068.0,1057.0,42.9,24.3,29.6,2.6,0.7
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Campania,160650.0,116008.0,203851.0,28063.0,873.0,31.5,22.8,40.0,5.5,0.2
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Emilia-Romagna,155079.0,54363.0,20116.0,15963.0,30.0,63.2,22.1,8.2,6.5,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Friuli-Venezia Giulia,71718.0,24786.0,8374.0,2626.0,411.0,66.5,23.0,7.8,2.4,0.4
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lazio,139037.0,45973.0,47645.0,2076.0,10.0,59.2,19.6,20.3,0.9,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Liguria,40127.0,8407.0,9382.0,3121.0,0.0,65.7,13.8,15.4,5.1,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lombardia,234771.0,121643.0,55519.0,17199.0,89.0,54.7,28.3,12.9,4.0,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Marche,75352.0,17705.0,8834.0,1736.0,0.0,72.7,17.1,8.5,1.7,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Molise,3566.0,2933.0,4107.0,113.0,310.0,32.3,26.6,37.2,1.0,2.8
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Piemonte,119139.0,52707.0,35641.0,21976.0,54.0,51.9,23.0,15.5,9.6,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Puglia,128046.0,99873.0,89478.0,6946.0,0.0,39.5,30.8,27.6,2.1,0.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sardegna,93645.0,40181.0,27027.0,3156.0,727.0,56.8,24.4,16.4,1.9,0.4
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sicilia,198364.0,108020.0,152978.0,13544.0,799.0,41.9,22.8,32.3,2.9,0.2
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Toscana,177094.0,54401.0,24306.0,9130.0,0.0,66.8,20.5,9.2,3.4,0.0
