report_id,data_riferimento,tavola,titolo_tabella,dimensione,etichetta,variabile,percorso,unita_misura,valore
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,4_lavoro_inclusione_ass,4_lavoro_inclusione,valore_assoluto,1895.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,4_lavoro_inclusione_pc,4_lavoro_inclusione,percentuale_riga,2.7
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,5_ricollocazione_collettiva_ass,5_ricollocazione_collettiva,valore_assoluto,113.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,5_ricollocazione_collettiva_pc,5_ricollocazione_collettiva,percentuale_riga,0.2
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,1_reinserimento_lavorativo_ass,1_reinserimento_lavorativo,valore_assoluto,108870.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,1_reinserimento_lavorativo_pc,1_reinserimento_lavorativo,percentuale_riga,60.7
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,2_aggiornamento_upskilling_ass,2_aggiornamento_upskilling,valore_assoluto,37257.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,2_aggiornamento_upskilling_pc,2_aggiornamento_upskilling,percentuale_riga,20.8
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,3_riqualificazione_reskilling_ass,3_riqualificazione_reskilling,valore_assoluto,31448.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,3_riqualificazione_reskilling_pc,3_riqualificazione_reskilling,percentuale_riga,17.5
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,4_lavoro_inclusione_ass,4_lavoro_inclusione,valore_assoluto,1765.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,4_lavoro_inclusione_pc,4_lavoro_inclusione,percentuale_riga,1.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,5_ricollocazione_collettiva_ass,5_ricollocazione_collettiva,valore_assoluto,4.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Lazio,5_ricollocazione_collettiva_pc,5_ricollocazione_collettiva,percentuale_riga,0.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Liguria,1_reinserimento_lavorativo_ass,1_reinserimento_lavorativo,valore_assoluto,26807.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Liguria,1_reinserimento_lavorativo_pc,1_reinserimento_lavorativo,percentuale_riga,62.9
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Liguria,2_aggiornamento_upskilling_ass,2_aggiornamento_upskilling,valore_assoluto,7138.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Liguria,2_aggiornamento_upskilling_pc,2_aggiornamento_upskilling,percentuale_riga,16.7
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Liguria,3_riqualificazione_reskilling_ass,3_riqualificazione_reskilling,valore_assoluto,6598.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",regione,Liguria,3_riqualificazione_reskilling_pc,3_riqualificazione_reskilling,percentuale_riga,15.5
