file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,5,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"23,9",23.9,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,6,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"32,5",32.5,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,7,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"4,4",4.4,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,0,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,28.071,28071,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,1,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,10.551,10551,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,2,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,3.825,3825,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,3,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,1.619,1619,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,4,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"63,7",63.7,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,5,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"23,9",23.9,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Emilia-Romagna,6,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"8,7",8.7,percent,ok
