file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Calabria,1,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),2.971,2971,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Calabria,2,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"14,7",14.7,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Calabria,3,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),858,858,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Calabria,4,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"4,3",4.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Calabria,5,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),2.113,2113,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Calabria,6,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"10,5",10.5,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Campania,0,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),59.758,59758,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Campania,1,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),11.234,11234,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Campania,2,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"18,8",18.8,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Campania,3,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),2.962,2962,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Campania,4,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"5,0",5.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Campania,5,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),8.272,8272,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Campania,6,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"13,8",13.8,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Emilia-Romagna,0,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),24.953,24953,count,ok
