report_id,data_riferimento,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ,dimensione,etichetta,percorso
INAPP_Focus-GOL_3-2025,2025-01-31,176528,73650,41.7,63679,36.1,9971,5.6,86.5,regione,Lazio,NA
INAPP_Focus-GOL_3-2025,2025-01-31,41848,19699,47.1,17554,41.9,2145,5.1,89.1,regione,Liguria,NA
INAPP_Focus-GOL_3-2025,2025-01-31,284534,123725,43.5,108361,38.1,15364,5.4,87.6,regione,Lombardia,NA
INAPP_Focus-GOL_3-2025,2025-01-31,71712,32388,45.2,29099,40.6,3289,4.6,89.8,regione,Marche,NA
INAPP_Focus-GOL_3-2025,2025-01-31,6536,2481,38,2228,34.1,253,3.9,89.8,regione,Molise,NA
INAPP_Focus-GOL_3-2025,2025-01-31,155262,64632,41.6,57594,37.1,7038,4.5,89.1,regione,Piemonte,NA
INAPP_Focus-GOL_3-2025,2025-01-31,222330,93179,41.9,86047,38.7,7132,3.2,92.3,regione,Puglia,NA
INAPP_Focus-GOL_3-2025,2025-01-31,118880,58684,49.4,54882,46.2,3802,3.2,93.5,regione,Sardegna,NA
INAPP_Focus-GOL_3-2025,2025-01-31,318791,101189,31.7,92024,28.9,9165,2.9,90.9,regione,Sicilia,NA
INAPP_Focus-GOL_3-2025,2025-01-31,162797,82778,50.8,75008,46.1,7770,4.8,90.6,regione,Toscana,NA
INAPP_Focus-GOL_3-2025,2025-01-31,16987,8463,49.8,7996,47.1,467,2.7,94.5,regione,P.A. Trento,NA
INAPP_Focus-GOL_3-2025,2025-01-31,38010,17882,47,15981,42,1901,5,89.4,regione,Umbria,NA
INAPP_Focus-GOL_3-2025,2025-01-31,192454,90168,46.9,83971,43.6,6197,3.2,93.1,regione,Veneto,NA
INAPP_Focus-GOL_3-2025,2025-01-31,2569210,1060962,41.3,958995,37.3,101967,4,90.4,regione,Totale,NA
INAPP_Focus-GOL_3-2025,2025-01-31,1292239,665597,51.5,609317,47.2,56280,4.4,91.5,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_3-2025,2025-01-31,659750,271039,41.1,241639,36.6,29400,4.5,89.2,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_3-2025,2025-01-31,527495,104427,19.8,92441,17.5,11986,2.3,88.5,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_3-2025,2025-01-31,89726,19899,22.2,15598,17.4,4301,4.8,78.4,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_4-2025,2025-02-28,59013,24978,42.3,22447,38,2531,4.3,89.9,regione,Abruzzo,NA
INAPP_Focus-GOL_4-2025,2025-02-28,37119,10825,29.2,9554,25.7,1271,3.4,88.3,regione,Basilicata,NA
INAPP_Focus-GOL_4-2025,2025-02-28,13527,6880,50.9,6452,47.7,428,3.2,93.8,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_4-2025,2025-02-28,136995,40514,29.6,36455,26.6,4059,3,90,regione,Calabria,NA
INAPP_Focus-GOL_4-2025,2025-02-28,446521,125910,28.2,111594,25,14316,3.2,88.6,regione,Campania,NA
INAPP_Focus-GOL_4-2025,2025-02-28,222672,92783,41.7,82057,36.9,10726,4.8,88.4,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_4-2025,2025-02-28,91552,41851,45.7,39253,42.9,2598,2.8,93.8,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_4-2025,2025-02-28,219850,90656,41.2,78756,35.8,11900,5.4,86.9,regione,Lazio,NA
INAPP_Focus-GOL_4-2025,2025-02-28,55247,21561,39,18634,33.7,2927,5.3,86.4,regione,Liguria,NA
INAPP_Focus-GOL_4-2025,2025-02-28,378825,159429,42.1,139036,36.7,20393,5.4,87.2,regione,Lombardia,NA
INAPP_Focus-GOL_4-2025,2025-02-28,90644,36912,40.7,32789,36.2,4123,4.5,88.8,regione,Marche,NA
INAPP_Focus-GOL_4-2025,2025-02-28,9349,3248,34.7,2886,30.9,362,3.9,88.9,regione,Molise,NA
INAPP_Focus-GOL_4-2025,2025-02-28,202850,81500,40.2,72466,35.7,9034,4.5,88.9,regione,Piemonte,NA
INAPP_Focus-GOL_4-2025,2025-02-28,298652,99386,33.3,89666,30,9720,3.3,90.2,regione,Puglia,NA
INAPP_Focus-GOL_4-2025,2025-02-28,142941,50319,35.2,45182,31.6,5137,3.6,89.8,regione,Sardegna,NA
INAPP_Focus-GOL_4-2025,2025-02-28,425697,125761,29.5,113870,26.7,11891,2.8,90.5,regione,Sicilia,NA
INAPP_Focus-GOL_4-2025,2025-02-28,221895,93502,42.1,81968,36.9,11534,5.2,87.7,regione,Toscana,NA
INAPP_Focus-GOL_4-2025,2025-02-28,21966,9754,44.4,9089,41.4,665,3,93.2,regione,P.A. Trento,NA
INAPP_Focus-GOL_4-2025,2025-02-28,51022,24027,47.1,21649,42.4,2378,4.7,90.1,regione,Umbria,NA
INAPP_Focus-GOL_4-2025,2025-02-28,253671,109038,43,100609,39.7,8429,3.3,92.3,regione,Veneto,NA
INAPP_Focus-GOL_4-2025,2025-02-28,3385241,1251420,37,1116781,33,134639,4,89.2,regione,Totale,NA
INAPP_Focus-GOL_4-2025,2025-02-28,1699509,777869,45.8,701704,41.3,76165,4.5,90.2,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_4-2025,2025-02-28,837737,314628,37.6,278155,33.2,36473,4.4,88.4,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_4-2025,2025-02-28,719050,133612,18.6,117359,16.3,16253,2.3,87.8,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_4-2025,2025-02-28,128945,25311,19.6,19563,15.2,5748,4.5,77.3,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_5-2025,2025-03-31,60700,25924,42.7,23324,38.4,2600,4.3,90,regione,Abruzzo,NA
INAPP_Focus-GOL_5-2025,2025-03-31,38104,11665,30.6,10389,27.3,1276,3.3,89.1,regione,Basilicata,NA
