report_id,data_riferimento,regione,2022,2023,2024,2025,totale,incidenza_pc,individui
INAPP_Focus-GOL_17-2025,2025-12-31,Sicilia,66213,165273,193564,223476,648526,34.5,561914
INAPP_Focus-GOL_17-2025,2025-12-31,Toscana,44988,84698,103852,118046,351584,33.6,290131
INAPP_Focus-GOL_17-2025,2025-12-31,P.A. Trento,4927,8170,8405,9330,30832,30.3,28213
INAPP_Focus-GOL_17-2025,2025-12-31,Umbria,11057,20290,21198,23700,76245,31.1,65465
INAPP_Focus-GOL_17-2025,2025-12-31,Veneto,40788,116534,111477,112190,380989,29.4,325161
INAPP_Focus-GOL_17-2025,2025-12-31,Totale,702815,1288355,1445807,1601557,5038534,31.8,4426443
INAPP_Focus-GOL_3-2025,2025-01-31,Abruzzo,9711,25277,24252,2444,61684,4,57185
INAPP_Focus-GOL_3-2025,2025-01-31,Basilicata,6602,13093,18894,2363,40952,5.8,35892
INAPP_Focus-GOL_3-2025,2025-01-31,P.A. Bolzano,2431,5867,5600,508,14406,3.5,13142
INAPP_Focus-GOL_3-2025,2025-01-31,Calabria,28236,48951,64204,4891,146282,3.3,134381
INAPP_Focus-GOL_3-2025,2025-01-31,Campania,93534,167689,208993,14534,484750,3,437648
INAPP_Focus-GOL_3-2025,2025-01-31,Emilia-Romagna,44421,84001,89311,9216,226949,4.1,215418
INAPP_Focus-GOL_3-2025,2025-01-31,Friuli-Venezia Giulia,21741,39411,37728,3282,102162,3.2,89384
INAPP_Focus-GOL_3-2025,2025-01-31,Lazio,61923,79202,75356,5582,222063,2.5,214342
INAPP_Focus-GOL_3-2025,2025-01-31,Liguria,11863,21133,22339,1013,56348,1.8,53085
INAPP_Focus-GOL_3-2025,2025-01-31,Lombardia,78452,138454,165441,16898,399245,4.2,366586
INAPP_Focus-GOL_3-2025,2025-01-31,Marche,18630,36434,39484,3343,97891,3.4,88374
INAPP_Focus-GOL_3-2025,2025-01-31,Molise,1712,2673,4579,575,9539,6,8951
INAPP_Focus-GOL_3-2025,2025-01-31,Piemonte,47024,73770,80886,8858,210538,4.2,195066
INAPP_Focus-GOL_3-2025,2025-01-31,Puglia,71796,103251,117905,11740,304692,3.9,289372
INAPP_Focus-GOL_3-2025,2025-01-31,Sardegna,39327,59368,54475,4389,157559,2.8,140554
INAPP_Focus-GOL_3-2025,2025-01-31,Sicilia,67443,169416,195026,15802,447687,3.5,414052
