report_id,data_riferimento,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
INAPP_Focus-GOL_16-2025,2025-11-30,Piemonte,266958,192279,72,181843,103051,23702,51008,6661,19363,70475,1,55,27137,194873,73
INAPP_Focus-GOL_16-2025,2025-11-30,Puglia,391092,192363,49.2,102010,115969,517,26206,19062,30085,73512,7,16789,22943,208535,53.3
INAPP_Focus-GOL_16-2025,2025-11-30,Sardegna,173242,142669,82.4,141256,61582,5925,34,10696,11619,21035,1,397,11774,144587,83.5
INAPP_Focus-GOL_16-2025,2025-11-30,Sicilia,548948,186228,33.9,162460,28116,189,24671,11446,35568,65487,4,248,26846,210460,38.3
INAPP_Focus-GOL_16-2025,2025-11-30,Toscana,284736,259002,91,235246,189677,12014,41113,41905,28402,95892,6152,3529,16898,259896,91.3
INAPP_Focus-GOL_16-2025,2025-11-30,P.A. Trento,27707,26697,96.4,11505,24439,315,1337,3449,3469,7891,372,138,817,26718,96.4
INAPP_Focus-GOL_16-2025,2025-11-30,Umbria,64150,48965,76.3,46965,27041,2752,529,7035,6376,12393,0,9,5560,50018,78
INAPP_Focus-GOL_16-2025,2025-11-30,Veneto,319714,319497,99.9,319394,297743,19468,16456,50766,26428,83081,2426,385,34200,319528,99.9
INAPP_Focus-GOL_16-2025,2025-11-30,Totale,4331220,2986783,69,2607324,1798782,130044,419965,275886,393101,1010828,10936,34838,285053,3077097,71
INAPP_Focus-GOL_17-2025,2025-12-31,Abruzzo,71929,61929,86.1,49355,34631,16,1812,3569,9198,13995,0,110,4662,62777,87.3
INAPP_Focus-GOL_17-2025,2025-12-31,Basilicata,47703,20292,42.5,9511,5192,51,3695,1834,8830,13907,5,153,2140,22159,46.5
INAPP_Focus-GOL_17-2025,2025-12-31,P.A. Bolzano,16514,16338,98.9,2157,16311,179,15,1299,698,1704,0,31,388,16343,99
INAPP_Focus-GOL_17-2025,2025-12-31,Calabria,178746,127179,71.2,120399,76250,5161,10475,7805,29928,45621,0,3531,7803,130002,72.7
INAPP_Focus-GOL_17-2025,2025-12-31,Campania,554450,415258,74.9,394750,179937,10972,161908,300,43400,200727,1285,3196,32678,424136,76.5
INAPP_Focus-GOL_17-2025,2025-12-31,Emilia-Romagna,281586,239609,85.1,228601,188818,9995,35574,8609,71542,110078,328,2169,18428,242412,86.1
INAPP_Focus-GOL_17-2025,2025-12-31,Friuli-Venezia Giulia,111538,106663,95.6,82979,96423,3432,9639,14471,16559,36164,108,117,6141,106943,95.9
INAPP_Focus-GOL_17-2025,2025-12-31,Lazio,289903,177099,61.1,164338,39760,10640,17529,18510,25678,59204,1,667,17836,181385,62.6
INAPP_Focus-GOL_17-2025,2025-12-31,Liguria,69977,55541,79.4,45491,32318,2426,50,11454,11430,20553,0,51,4751,56124,80.2
INAPP_Focus-GOL_17-2025,2025-12-31,Lombardia,547768,361394,66,298506,253867,31597,24055,66476,61711,135718,417,2734,38561,378018,69
INAPP_Focus-GOL_17-2025,2025-12-31,Marche,111440,96532,86.6,57123,83163,8111,8607,4035,8405,19096,1,1208,11765,97393,87.4
INAPP_Focus-GOL_17-2025,2025-12-31,Molise,15188,4172,27.5,1247,200,49,1481,273,1716,3257,1,5,1127,5112,33.7
INAPP_Focus-GOL_17-2025,2025-12-31,Piemonte,273770,199571,72.9,187965,106976,24320,54946,7367,25120,79104,1,57,27865,202149,73.8
INAPP_Focus-GOL_17-2025,2025-12-31,Puglia,400901,203584,50.8,104904,119547,531,31252,21935,42157,91972,7,18330,23749,220031,54.9
INAPP_Focus-GOL_17-2025,2025-12-31,Sardegna,176814,147470,83.4,145385,64814,7002,38,14159,19903,31228,1,449,12000,149172,84.4
INAPP_Focus-GOL_17-2025,2025-12-31,Sicilia,561914,220988,39.3,168339,29441,17798,33821,14674,53121,91599,4,256,27928,230594,41
INAPP_Focus-GOL_17-2025,2025-12-31,Toscana,290131,264481,91.2,240055,194024,12838,44634,43680,35931,106041,6283,3623,17504,265331,91.5
INAPP_Focus-GOL_17-2025,2025-12-31,P.A. Trento,28213,27237,96.5,11760,24905,331,1479,3980,4164,9017,380,149,865,27257,96.6
INAPP_Focus-GOL_17-2025,2025-12-31,Umbria,65465,50740,77.5,48325,27986,2887,769,7793,8235,15041,0,9,5712,51761,79.1
INAPP_Focus-GOL_17-2025,2025-12-31,Veneto,325161,325010,100,324916,302321,22674,16738,52336,30789,88209,2438,400,34836,325039,100
INAPP_Focus-GOL_17-2025,2025-12-31,Totale,4426443,3127646,70.7,2691396,1880888,171563,458978,304989,509434,1174106,11287,37285,297407,3200720,72.3
INAPP_Focus-GOL_3-2025,2025-01-31,Abruzzo,57185,46774,81.8,35635,25507,8,1039,258,402,1676,0,1,3124,47456,83
INAPP_Focus-GOL_3-2025,2025-01-31,Basilicata,35892,8261,23,5156,1448,0,1733,893,1275,3893,0,27,1346,9765,27.2
INAPP_Focus-GOL_3-2025,2025-01-31,P.A. Bolzano,13142,12113,92.2,1066,11905,10,13,539,240,677,0,17,239,12174,92.6
INAPP_Focus-GOL_3-2025,2025-01-31,Calabria,134381,82573,61.4,81219,37357,2471,4184,3401,1807,9159,0,3131,5093,86201,64.1
INAPP_Focus-GOL_3-2025,2025-01-31,Campania,437648,271215,62,258872,66845,7160,96878,205,9886,106847,270,1167,21183,279869,63.9
INAPP_Focus-GOL_3-2025,2025-01-31,Emilia-Romagna,215418,180881,84,171176,137183,6692,29599,5609,33739,66659,1,1546,12050,182933,84.9
INAPP_Focus-GOL_3-2025,2025-01-31,Friuli-Venezia Giulia,89384,83815,93.8,63214,75064,1897,5424,8810,7555,19906,53,48,4410,84197,94.2
INAPP_Focus-GOL_3-2025,2025-01-31,Lazio,214342,101114,47.2,101043,19336,14,5149,8873,3132,16910,0,384,12967,110863,51.7
INAPP_Focus-GOL_3-2025,2025-01-31,Liguria,53085,38874,73.2,33424,19039,1080,8,7305,6629,12531,0,33,2682,39381,74.2
INAPP_Focus-GOL_3-2025,2025-01-31,Lombardia,366586,196999,53.7,178348,153143,7314,5764,37207,18574,53451,5,1706,22948,209558,57.2
INAPP_Focus-GOL_3-2025,2025-01-31,Marche,88374,72379,81.9,34897,65738,1428,1152,1901,2431,5281,0,791,7927,74002,83.7
INAPP_Focus-GOL_3-2025,2025-01-31,Molise,8951,1547,17.3,724,11,2,711,111,113,928,1,0,608,2144,24
INAPP_Focus-GOL_3-2025,2025-01-31,Piemonte,195066,129584,66.4,122690,63206,14880,29084,3493,6274,36620,0,1,18231,132294,67.8
INAPP_Focus-GOL_3-2025,2025-01-31,Puglia,289372,109550,37.9,52058,76208,382,11403,6960,2594,20652,4,327,15143,121627,42
INAPP_Focus-GOL_3-2025,2025-01-31,Sardegna,140554,106034,75.4,105168,40121,958,11,5437,2903,8204,1,8,7898,108459,77.2
INAPP_Focus-GOL_3-2025,2025-01-31,Sicilia,414052,96781,23.4,92350,6030,51,10997,2880,1947,15543,1,141,16538,113172,27.3
INAPP_Focus-GOL_3-2025,2025-01-31,Toscana,214267,191700,89.5,174717,137266,6762,18704,19127,7222,40558,2836,2529,10489,192502,89.8
INAPP_Focus-GOL_3-2025,2025-01-31,P.A. Trento,21236,20059,94.5,8314,17595,155,576,1827,1426,3816,271,2,423,20082,94.6
INAPP_Focus-GOL_3-2025,2025-01-31,Umbria,49646,33258,67,33074,16125,129,256,3668,2247,5426,0,2,3783,35231,71
INAPP_Focus-GOL_3-2025,2025-01-31,Veneto,243260,242210,99.6,241613,231401,10697,7638,31091,14261,46523,1542,128,24910,242358,99.6
INAPP_Focus-GOL_3-2025,2025-01-31,Totale,3286912,2029912,61.8,1797616,1203393,62254,230428,149871,124840,475985,5001,11990,192363,2108534,64.1
INAPP_Focus-GOL_4-2025,2025-02-28,Abruzzo,59013,48731,82.6,37605,26791,8,1408,312,439,2128,0,1,3288,49430,83.8
INAPP_Focus-GOL_4-2025,2025-02-28,Basilicata,37121,9438,25.4,5745,1807,0,1898,1009,1610,4507,0,42,1425,11009,29.7
INAPP_Focus-GOL_4-2025,2025-02-28,P.A. Bolzano,13527,12494,92.4,1189,12277,12,13,576,245,717,0,18,249,12556,92.8
INAPP_Focus-GOL_4-2025,2025-02-28,Calabria,138029,86105,62.4,84756,39268,2555,4390,3746,1924,9825,0,3123,5214,89697,65
INAPP_Focus-GOL_4-2025,2025-02-28,Campania,447378,285341,63.8,272604,77075,7372,102711,222,10451,113245,403,1442,21869,293973,65.7
INAPP_Focus-GOL_4-2025,2025-02-28,Emilia-Romagna,222702,187898,84.4,177151,142550,6995,30764,5851,39332,73377,1,1584,12570,189999,85.3
INAPP_Focus-GOL_4-2025,2025-02-28,Friuli-Venezia Giulia,91834,86368,94,65566,77446,1949,5657,9555,7985,21183,53,51,4539,86747,94.5
INAPP_Focus-GOL_4-2025,2025-02-28,Lazio,219860,105678,48.1,105603,21380,18,5579,9723,3381,18381,0,411,13353,115615,52.6
INAPP_Focus-GOL_4-2025,2025-02-28,Liguria,55247,40972,74.2,35098,20585,1229,9,7770,6996,13252,0,35,2897,41491,75.1
INAPP_Focus-GOL_4-2025,2025-02-28,Lombardia,378896,208460,55,188406,160961,7997,5905,38725,19161,55443,6,1794,23934,221289,58.4
INAPP_Focus-GOL_4-2025,2025-02-28,Marche,90644,74372,82,37043,67263,1435,1220,2161,2578,5728,0,830,8223,76034,83.9
INAPP_Focus-GOL_4-2025,2025-02-28,Molise,9533,1822,19.1,745,13,2,911,126,185,1213,1,0,643,2442,25.6
INAPP_Focus-GOL_4-2025,2025-02-28,Piemonte,202853,135548,66.8,128466,66995,15697,30290,3555,6574,38077,0,3,19045,138245,68.2
INAPP_Focus-GOL_4-2025,2025-02-28,Puglia,298652,117716,39.4,57202,80680,405,13027,8231,2711,23645,4,1530,15859,130201,43.6
INAPP_Focus-GOL_4-2025,2025-02-28,Sardegna,143332,109114,76.1,108315,42708,1076,13,5343,2977,8221,1,7,8114,111534,77.8
INAPP_Focus-GOL_4-2025,2025-02-28,Sicilia,426447,103117,24.2,98596,7247,54,11728,3044,2080,16529,1,162,17461,120331,28.2
INAPP_Focus-GOL_4-2025,2025-02-28,Toscana,221895,198970,89.7,181219,144113,7260,19632,21595,8008,44106,3076,2683,11362,199747,90
INAPP_Focus-GOL_4-2025,2025-02-28,P.A. Trento,21966,20812,94.7,8638,18396,160,587,1922,1487,3978,280,4,455,20832,94.8
INAPP_Focus-GOL_4-2025,2025-02-28,Umbria,51149,34830,68.1,34537,17214,269,276,3928,2478,5865,0,3,3953,36756,71.9
INAPP_Focus-GOL_4-2025,2025-02-28,Veneto,254343,253908,99.8,253729,244778,11079,6503,34875,15798,50096,1588,167,26067,253991,99.9
INAPP_Focus-GOL_4-2025,2025-02-28,Totale,3389657,2126042,62.7,1885246,1272499,65752,242664,162579,136604,510324,5430,13893,200898,2206334,65.1
INAPP_Focus-GOL_5-2025,2025-03-31,Abruzzo,60700,50487,83.2,39294,27687,9,1431,466,532,2397,0,1,3460,51196,84.3
INAPP_Focus-GOL_5-2025,2025-03-31,Basilicata,38106,10813,28.4,6924,2189,0,2181,1154,1956,5274,0,63,1499,12413,32.6
INAPP_Focus-GOL_5-2025,2025-03-31,P.A. Bolzano,13855,13669,98.7,1309,13649,13,14,654,276,807,0,20,259,13677,98.7
INAPP_Focus-GOL_5-2025,2025-03-31,Calabria,144448,89966,62.3,88598,41737,2598,4506,3834,2019,10094,0,3150,5350,93578,64.8
INAPP_Focus-GOL_5-2025,2025-03-31,Campania,457972,297742,65,284506,84135,7503,107187,194,11341,118571,505,1687,22633,306442,66.9
INAPP_Focus-GOL_5-2025,2025-03-31,Emilia-Romagna,229902,194772,84.7,183257,147676,7280,32180,6116,44244,79799,1,1654,13226,196915,85.7
INAPP_Focus-GOL_5-2025,2025-03-31,Friuli-Venezia Giulia,94093,88659,94.2,67698,79719,2003,5828,10114,8401,22172,64,46,4703,89038,94.6
INAPP_Focus-GOL_5-2025,2025-03-31,Lazio,225516,110363,48.9,110284,23364,19,6016,10704,3801,20160,0,449,13762,120503,53.4
INAPP_Focus-GOL_5-2025,2025-03-31,Liguria,56990,42707,74.9,36518,21990,1359,9,8320,7489,14162,0,37,3070,43232,75.9
INAPP_Focus-GOL_5-2025,2025-03-31,Lombardia,392313,220477,56.2,198486,167039,8777,6077,44852,20878,62756,6,1865,25022,233589,59.5
