regione;anno;trimestre;trimestre_roman;flusso;variabile;valore;file_origine
Veneto;2017;1;I;cessazioni;rapporti;117158.0;Allegato-IV-Trimestre-2021.xlsx
Veneto;2017;1;I;cessazioni;lavoratori;98482.0;Allegato-IV-Trimestre-2021.xlsx
Veneto;2017;1;I;cessazioni;media;1.1896387157043926;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;avviamenti;rapporti;70850.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;avviamenti;lavoratori;55286.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;avviamenti;media;1.281517924971964;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;cessazioni;rapporti;55019.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;cessazioni;lavoratori;41432.0;Allegato-IV-Trimestre-2021.xlsx
Abruzzo;2017;2;II;cessazioni;media;1.327934929523074;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;avviamenti;rapporti;47261.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;avviamenti;lavoratori;34884.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;avviamenti;media;1.354804494897374;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;cessazioni;rapporti;40520.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;cessazioni;lavoratori;28122.0;Allegato-IV-Trimestre-2021.xlsx
Basilicata;2017;2;II;cessazioni;media;1.4408648033568026;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;avviamenti;rapporti;47311.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;avviamenti;lavoratori;42537.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;avviamenti;media;1.1122317041634342;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;cessazioni;rapporti;30726.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;cessazioni;lavoratori;27873.0;Allegato-IV-Trimestre-2021.xlsx
Bolzano/Bolzen;2017;2;II;cessazioni;media;1.1023571197933484;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;avviamenti;rapporti;91924.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;avviamenti;lavoratori;76796.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;avviamenti;media;1.196989426532632;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;cessazioni;rapporti;65735.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;cessazioni;lavoratori;49273.0;Allegato-IV-Trimestre-2021.xlsx
Calabria;2017;2;II;cessazioni;media;1.3340977817465955;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;avviamenti;rapporti;223936.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;avviamenti;lavoratori;167920.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;avviamenti;media;1.333587422582182;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;cessazioni;rapporti;192396.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;cessazioni;lavoratori;134581.0;Allegato-IV-Trimestre-2021.xlsx
Campania;2017;2;II;cessazioni;media;1.4295925873637438;Allegato-IV-Trimestre-2021.xlsx
Emilia Romagna;2017;2;II;avviamenti;rapporti;260751.0;Allegato-IV-Trimestre-2021.xlsx
