regione;anno;trimestre;trimestre_roman;flusso;rapporti;lavoratori;media;file_origine
Sicilia;2024;4;IV;cessazioni;302975.0;248622.0;1.2186170169976913;Allegato-III-Trimestre-CO-2025.xlsx
Toscana;2024;4;IV;avviamenti;174993.0;136988.0;1.277433059830058;Allegato-III-Trimestre-CO-2025.xlsx
Toscana;2024;4;IV;cessazioni;234931.0;190382.0;1.2339979619922052;Allegato-III-Trimestre-CO-2025.xlsx
Totale (d);2024;4;IV;avviamenti;3033134.0;2181451.0;1.3904204128353101;Allegato-III-Trimestre-CO-2025.xlsx
Totale (d);2024;4;IV;cessazioni;3796820.0;2832889.0;1.3402643026253411;Allegato-III-Trimestre-CO-2025.xlsx
Trento;2024;4;IV;avviamenti;43978.0;38697.0;1.136470527431067;Allegato-III-Trimestre-CO-2025.xlsx
Trento;2024;4;IV;cessazioni;47119.0;41503.0;1.1353155193600462;Allegato-III-Trimestre-CO-2025.xlsx
Umbria;2024;4;IV;avviamenti;35845.0;28707.0;1.2486501550144564;Allegato-III-Trimestre-CO-2025.xlsx
Umbria;2024;4;IV;cessazioni;48194.0;39360.0;1.224441056910569;Allegato-III-Trimestre-CO-2025.xlsx
Valle d’Aosta/Vallée d’Aoste;2024;4;IV;avviamenti;13176.0;11618.0;1.1341022551213633;Allegato-III-Trimestre-CO-2025.xlsx
Valle d’Aosta/Vallée d’Aoste;2024;4;IV;cessazioni;8181.0;7034.0;1.1630651123116291;Allegato-III-Trimestre-CO-2025.xlsx
Veneto;2024;4;IV;avviamenti;205133.0;172833.0;1.1868856063367528;Allegato-III-Trimestre-CO-2025.xlsx
Veneto;2024;4;IV;cessazioni;252549.0;217323.0;1.1620905288441628;Allegato-III-Trimestre-CO-2025.xlsx
Abruzzo;2025;1;I;avviamenti;63258.0;52782.0;1.1984767534386722;Allegato-III-Trimestre-CO-2025.xlsx
Abruzzo;2025;1;I;cessazioni;43682.0;35152.0;1.242660446062813;Allegato-III-Trimestre-CO-2025.xlsx
Basilicata;2025;1;I;avviamenti;44333.0;33336.0;1.3298836093112552;Allegato-III-Trimestre-CO-2025.xlsx
Basilicata;2025;1;I;cessazioni;21124.0;15699.0;1.3455634116822728;Allegato-III-Trimestre-CO-2025.xlsx
Bolzano/Bolzen;2025;1;I;avviamenti;34316.0;31203.0;1.0997660481363971;Allegato-III-Trimestre-CO-2025.xlsx
Bolzano/Bolzen;2025;1;I;cessazioni;40474.0;37564.0;1.0774677883079544;Allegato-III-Trimestre-CO-2025.xlsx
Calabria;2025;1;I;avviamenti;89254.0;73353.0;1.2167736834212644;Allegato-III-Trimestre-CO-2025.xlsx
Calabria;2025;1;I;cessazioni;52887.0;41311.0;1.28021592311975;Allegato-III-Trimestre-CO-2025.xlsx
Campania;2025;1;I;avviamenti;269761.0;209872.0;1.2853596477853169;Allegato-III-Trimestre-CO-2025.xlsx
Campania;2025;1;I;cessazioni;181479.0;131108.0;1.384194709704976;Allegato-III-Trimestre-CO-2025.xlsx
Emilia Romagna;2025;1;I;avviamenti;285219.0;225379.0;1.2655083215383864;Allegato-III-Trimestre-CO-2025.xlsx
Emilia Romagna;2025;1;I;cessazioni;181738.0;135908.0;1.337213409070842;Allegato-III-Trimestre-CO-2025.xlsx
Friuli Venezia Giulia;2025;1;I;avviamenti;63850.0;54882.0;1.163405123719981;Allegato-III-Trimestre-CO-2025.xlsx
Friuli Venezia Giulia;2025;1;I;cessazioni;40548.0;33071.0;1.226089322971788;Allegato-III-Trimestre-CO-2025.xlsx
Lazio;2025;1;I;avviamenti;504513.0;274113.0;1.8405292707751912;Allegato-III-Trimestre-CO-2025.xlsx
Lazio;2025;1;I;cessazioni;415401.0;200281.0;2.0740909022822933;Allegato-III-Trimestre-CO-2025.xlsx
Liguria;2025;1;I;avviamenti;66585.0;56744.0;1.1734280276328775;Allegato-III-Trimestre-CO-2025.xlsx
Liguria;2025;1;I;cessazioni;49337.0;41141.0;1.1992173257820666;Allegato-III-Trimestre-CO-2025.xlsx
Lombardia;2025;1;I;avviamenti;506269.0;392975.0;1.2882982378013867;Allegato-III-Trimestre-CO-2025.xlsx
Lombardia;2025;1;I;cessazioni;389707.0;293249.0;1.3289286578982367;Allegato-III-Trimestre-CO-2025.xlsx
Marche;2025;1;I;avviamenti;73817.0;61583.0;1.1986587207508566;Allegato-III-Trimestre-CO-2025.xlsx
Marche;2025;1;I;cessazioni;47599.0;38246.0;1.24454844951106;Allegato-III-Trimestre-CO-2025.xlsx
Molise;2025;1;I;avviamenti;11795.0;10115.0;1.166089965397924;Allegato-III-Trimestre-CO-2025.xlsx
Molise;2025;1;I;cessazioni;7640.0;6377.0;1.1980555119962364;Allegato-III-Trimestre-CO-2025.xlsx
N.D. (c );2025;1;I;avviamenti;873.0;714.0;1.2226890756302522;Allegato-III-Trimestre-CO-2025.xlsx
